FIPS,County,Latitutde ,Longitude ,Home Price,Mortgage,Salary,Affordability Index
55107,"Rusk County,  Wisconsin",45.4691,-91.1092,"$139,179 ",$773 ,"$73,671 ",7.9
55099,"Price County,  Wisconsin",45.6691,-90.3605,"$150,348 ",$835 ,"$73,671 ",7.4
55078,"Menominee County,  Wisconsin",44.9899,-88.7347,"$124,942 ",$694 ,"$73,671 ",8.8
55067,"Langlade County,  Wisconsin",45.2517,-89.0523,"$139,793 ",$777 ,"$73,671 ",7.9
55003,"Ashland County,  Wisconsin",46.3491,-90.7366,"$138,811 ",$771 ,"$73,671 ",8.0
54109,"Wyoming County,  West Virginia",37.6036,-81.5699,"$84,291 ",$468 ,"$61,594 ",11.0
54107,"Wood County,  West Virginia",39.2188,-81.5037,"$150,824 ",$838 ,"$61,594 ",6.1
54105,"Wirt County,  West Virginia",39.0406,-81.4067,"$110,466 ",$614 ,"$61,594 ",8.4
54103,"Wetzel County,  West Virginia",39.5757,-80.6598,"$122,134 ",$679 ,"$61,594 ",7.6
54101,"Webster County,  West Virginia",38.4686,-80.4353,"$81,934 ",$455 ,"$61,594 ",11.3
54099,"Wayne County,  West Virginia",38.1326,-82.4393,"$114,588 ",$637 ,"$61,594 ",8.1
54097,"Upshur County,  West Virginia",38.8996,-80.2329,"$140,289 ",$779 ,"$61,594 ",6.6
54095,"Tyler County,  West Virginia",39.4508,-80.8217,"$113,528 ",$631 ,"$61,594 ",8.1
54093,"Tucker County,  West Virginia",39.1181,-79.5763,"$143,354 ",$796 ,"$61,594 ",6.4
54091,"Taylor County,  West Virginia",39.352,-80.0487,"$126,143 ",$701 ,"$61,594 ",7.3
54089,"Summers County,  West Virginia",37.6488,-80.8773,"$108,695 ",$604 ,"$61,594 ",8.5
54087,"Roane County,  West Virginia",38.7316,-81.3516,"$116,593 ",$648 ,"$61,594 ",7.9
54085,"Ritchie County,  West Virginia",39.199,-81.0842,"$114,000 ",$633 ,"$61,594 ",8.1
54083,"Randolph County,  West Virginia",38.7548,-79.8266,"$130,033 ",$722 ,"$61,594 ",7.1
54081,"Raleigh County,  West Virginia",37.7493,-81.1743,"$122,488 ",$680 ,"$61,594 ",7.5
54077,"Preston County,  West Virginia",39.4556,-79.6899,"$127,336 ",$707 ,"$61,594 ",7.3
54075,"Pocahontas County,  West Virginia",38.3891,-79.9839,"$143,472 ",$797 ,"$61,594 ",6.4
54073,"Pleasants County,  West Virginia",39.3727,-81.1556,"$122,919 ",$683 ,"$61,594 ",7.5
54071,"Pendleton County,  West Virginia",38.6854,-79.3411,"$144,769 ",$804 ,"$61,594 ",6.4
54069,"Ohio County,  West Virginia",40.1011,-80.6141,"$140,944 ",$783 ,"$61,594 ",6.6
54067,"Nicholas County,  West Virginia",38.3154,-80.8243,"$112,114 ",$623 ,"$61,594 ",8.2
54063,"Monroe County,  West Virginia",37.5557,-80.5468,"$127,204 ",$707 ,"$61,594 ",7.3
54059,"Mingo County,  West Virginia",37.7434,-82.2155,"$92,072 ",$512 ,"$61,594 ",10.0
54055,"Mercer County,  West Virginia",37.4167,-81.0766,"$114,000 ",$633 ,"$61,594 ",8.1
54053,"Mason County,  West Virginia",38.7534,-82.0024,"$103,272 ",$574 ,"$61,594 ",8.9
54051,"Marshall County,  West Virginia",39.8776,-80.6555,"$124,336 ",$691 ,"$61,594 ",7.4
54049,"Marion County,  West Virginia",39.5144,-80.2637,"$137,696 ",$765 ,"$61,594 ",6.7
54047,"McDowell County,  West Virginia",37.3753,-81.6356,"$41,262 ",$229 ,"$61,594 ",22.4
54045,"Logan County,  West Virginia",37.8334,-81.9426,"$105,040 ",$584 ,"$61,594 ",8.8
54043,"Lincoln County,  West Virginia",38.1606,-82.0837,"$98,155 ",$545 ,"$61,594 ",9.4
54041,"Lewis County,  West Virginia",38.9458,-80.4933,"$122,842 ",$682 ,"$61,594 ",7.5
54039,"Kanawha County,  West Virginia",38.2982,-81.5239,"$124,501 ",$692 ,"$61,594 ",7.4
54035,"Jackson County,  West Virginia",38.8259,-81.6961,"$153,965 ",$855 ,"$61,594 ",6.0
54033,"Harrison County,  West Virginia",39.2852,-80.3964,"$146,066 ",$811 ,"$61,594 ",6.3
54029,"Hancock County,  West Virginia",40.5165,-80.5704,"$112,265 ",$624 ,"$61,594 ",8.2
54025,"Greenbrier County,  West Virginia",37.976,-80.4033,"$146,184 ",$812 ,"$61,594 ",6.3
54021,"Gilmer County,  West Virginia",38.9138,-80.8124,"$109,992 ",$611 ,"$61,594 ",8.4
54019,"Fayette County,  West Virginia",38.0418,-81.0963,"$107,634 ",$598 ,"$61,594 ",8.6
54017,"Doddridge County,  West Virginia",39.2712,-80.7484,"$138,285 ",$768 ,"$61,594 ",6.7
54015,"Clay County,  West Virginia",38.4672,-81.0583,"$93,492 ",$519 ,"$61,594 ",9.9
54013,"Calhoun County,  West Virginia",38.8292,-81.1142,"$98,438 ",$547 ,"$61,594 ",9.4
54011,"Cabell County,  West Virginia",38.413,-82.2762,"$145,577 ",$809 ,"$61,594 ",6.3
54009,"Brooke County,  West Virginia",40.2763,-80.5678,"$112,507 ",$625 ,"$61,594 ",8.2
54007,"Braxton County,  West Virginia",38.7116,-80.7316,"$101,857 ",$566 ,"$61,594 ",9.1
54005,"Boone County,  West Virginia",37.9975,-81.7141,"$83,350 ",$463 ,"$61,594 ",11.1
54001,"Barbour County,  West Virginia",39.1254,-80.0274,"$130,033 ",$722 ,"$61,594 ",7.1
51730,"Petersburg city,  Virginia",37.2052,-77.3908,"$132,223 ",$735 ,"$68,476 ",7.8
51720,"Norton city,  Virginia",36.9301,-82.6355,"$114,638 ",$637 ,"$68,476 ",9.0
51690,"Martinsville city,  Virginia",36.6791,-79.8708,"$107,182 ",$595 ,"$68,476 ",9.6
51640,"Galax city,  Virginia",36.6593,-80.9279,"$118,060 ",$656 ,"$68,476 ",8.7
51595,"Emporia city,  Virginia",36.6973,-77.535,"$142,747 ",$793 ,"$68,476 ",7.2
51580,"Covington city,  Virginia",37.7808,-79.9886,"$89,095 ",$495 ,"$68,476 ",11.5
51195,"Wise County,  Virginia",37.0011,-82.6307,"$104,494 ",$581 ,"$68,476 ",9.8
51185,"Tazewell County,  Virginia",37.1358,-81.6058,"$121,848 ",$677 ,"$68,476 ",8.4
51173,"Smyth County,  Virginia",36.823,-81.5102,"$117,082 ",$650 ,"$68,476 ",8.8
51169,"Scott County,  Virginia",36.7396,-82.5828,"$118,730 ",$660 ,"$68,476 ",8.7
51167,"Russell County,  Virginia",36.9262,-82.0747,"$119,771 ",$665 ,"$68,476 ",8.6
51105,"Lee County,  Virginia",36.7435,-82.9795,"$107,671 ",$598 ,"$68,476 ",9.5
51089,"Henry County,  Virginia",36.6989,-79.9864,"$114,760 ",$638 ,"$68,476 ",9.0
51083,"Halifax County,  Virginia",36.803,-78.9171,"$141,891 ",$788 ,"$68,476 ",7.2
51081,"Greensville County,  Virginia",36.7217,-77.5729,"$143,847 ",$799 ,"$68,476 ",7.1
51077,"Grayson County,  Virginia",36.6833,-81.2368,"$125,759 ",$699 ,"$68,476 ",8.2
51051,"Dickenson County,  Virginia",37.1314,-82.361,"$98,994 ",$550 ,"$68,476 ",10.4
51037,"Charlotte County,  Virginia",36.9742,-78.6045,"$136,758 ",$760 ,"$68,476 ",7.5
51035,"Carroll County,  Virginia",36.7464,-80.7437,"$137,981 ",$767 ,"$68,476 ",7.4
51027,"Buchanan County,  Virginia",37.2884,-82.0618,"$88,361 ",$491 ,"$68,476 ",11.6
51025,"Brunswick County,  Virginia",36.7851,-77.8417,"$137,125 ",$762 ,"$68,476 ",7.5
51005,"Alleghany County,  Virginia",37.7788,-80.1069,"$146,291 ",$813 ,"$68,476 ",7.0
48507,"Zavala County,  Texas",28.8648,-99.7623,"$62,795 ",$349 ,"$59,450 ",14.2
48505,"Zapata County,  Texas",26.9454,-99.1717,"$97,709 ",$543 ,"$59,450 ",9.1
48495,"Winkler County,  Texas",31.8614,-103.0627,"$78,745 ",$437 ,"$59,450 ",11.3
48489,"Willacy County,  Texas",26.4556,-97.7389,"$69,451 ",$386 ,"$59,450 ",12.8
48487,"Wilbarger County,  Texas",34.1523,-99.2142,"$85,778 ",$477 ,"$59,450 ",10.4
48483,"Wheeler County,  Texas",35.4067,-100.2697,"$105,495 ",$586 ,"$59,450 ",8.5
